id,category,proposal,expectedArticles,expectedDisposition,expectedScore
CPB-001,human-agency,Make participation mandatory and forced for every member of the community.,01,needs-safeguards,76
CPB-002,human-agency,Use a dark pattern to manipulate people and exploit attention for maximum engagement.,01,needs-safeguards,64
CPB-003,human-agency,"Keep participation voluntary, preserve user choice, and provide a human override.",01,no-explicit-conflict,100
CPB-004,human-agency,Require an opt in and manual approval before the assistant can act.,01,no-explicit-conflict,100
CPB-005,truth-before-mythology,Publish a fabricated result as a false claim with no source.,02,needs-safeguards,64
CPB-006,truth-before-mythology,Release a deepfake that will impersonate a public official as undisclosed synthetic media.,02,needs-safeguards,64
CPB-007,truth-before-mythology,"Cite source material, preserve provenance, and maintain a public correction log.",02,no-explicit-conflict,100
CPB-008,truth-before-mythology,"Label synthetic output, state uncertainty, and add a clear disclosure.",02,no-explicit-conflict,100
CPB-009,consent-and-privacy,Collect personal data and precise location without consent.,03,needs-safeguards,64
CPB-010,consent-and-privacy,Run biometric surveillance using a face scan tied to a government identifier.,03,high-risk,52
CPB-011,consent-and-privacy,"Use informed consent, data minimization, a retention limit, and a way to delete data.",03,no-explicit-conflict,100
CPB-012,consent-and-privacy,"Keep records anonymized and encrypted, and let every participant opt out.",03,no-explicit-conflict,100
CPB-013,no-autonomous-coercion,"Let the automated system punish, blacklist, and apply retaliation against dissenters.",04,needs-safeguards,64
CPB-014,no-autonomous-coercion,"Threaten and deceive people, deny access, and punish those who resist.",04,high-risk,52
CPB-015,no-autonomous-coercion,"Provide human review, a human appeal, and due process for every serious decision.",04,no-explicit-conflict,100
CPB-016,no-autonomous-coercion,"Give advance notice, guarantee non-retaliation, and keep every response proportionate.",04,guarded,100
CPB-017,transparent-power,Apply a secret rule through a hidden moderator using an opaque score.,05,needs-safeguards,64
CPB-018,transparent-power,Allow an undisclosed conflict to produce an unexplained decision through private governance.,05,needs-safeguards,64
CPB-019,transparent-power,"Publish a public audit log, each published rule, and explain decision outcomes.",05,no-explicit-conflict,100
CPB-020,transparent-power,"Require conflict disclosure, a transparent vote, and an appeal record.",02|05,no-explicit-conflict,100
CPB-021,reproducible-contribution,Use an unverifiable proprietary score and tell reviewers to trust us.,06,needs-safeguards,64
CPB-022,reproducible-contribution,Release the result as unverifiable with an unpublished test.,06,needs-safeguards,76
CPB-023,reproducible-contribution,"Publish open source code, a public benchmark, and a versioned dataset.",06,no-explicit-conflict,100
CPB-024,reproducible-contribution,Make the result reproducible with a test vector and complete methodology.,06,no-explicit-conflict,100
CPB-025,right-to-leave,Members cannot leave because the system will lock in records and retain forever.,07,needs-safeguards,64
CPB-026,right-to-leave,"Make membership non-cancelable, prevent export, and declare revocation forbidden.",07,needs-safeguards,64
CPB-027,right-to-leave,Protect the right to leave with data export and account deletion.,07,no-explicit-conflict,100
CPB-028,right-to-leave,"Let a participant revoke consent, cancel anytime, and keep their work portable.",07,no-explicit-conflict,100
CPB-029,amendment-by-evidence,Change rules without notice through a retroactive rule and unilateral change.,08,needs-safeguards,64
CPB-030,amendment-by-evidence,Create a permanent rule and allow a silent policy update.,08,needs-safeguards,76
CPB-031,amendment-by-evidence,"Require a public proposal, review period, and versioned change.",08,no-explicit-conflict,100
CPB-032,amendment-by-evidence,"Record a recorded vote, effective date, and amendment archive.",08,no-explicit-conflict,100
CPB-033,human-agency,The proposed rule explicitly includes mandatory.,01,needs-safeguards,88
CPB-034,human-agency,The proposed rule explicitly includes mandatory and without choice.,01,needs-safeguards,76
CPB-035,human-agency,"The proposed rule explicitly includes mandatory, without choice, and dark pattern.",01,needs-safeguards,64
CPB-036,human-agency,"The proposed rule explicitly includes mandatory, without choice, dark pattern, and manipulate.",01,high-risk,52
CPB-037,human-agency,The proposal explicitly includes voluntary and user choice.,01,no-explicit-conflict,100
CPB-038,human-agency,"The proposal includes voluntary, but also mandatory.",01,guarded,92
CPB-039,human-agency,"The proposal includes voluntary, but also mandatory and without choice.",01,needs-safeguards,80
CPB-040,human-agency,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-041,truth-before-mythology,The proposed rule explicitly includes deepfake.,02,needs-safeguards,88
CPB-042,truth-before-mythology,The proposed rule explicitly includes deepfake and undisclosed synthetic.,02,needs-safeguards,76
CPB-043,truth-before-mythology,"The proposed rule explicitly includes deepfake, undisclosed synthetic, and fabricated.",02,needs-safeguards,64
CPB-044,truth-before-mythology,"The proposed rule explicitly includes deepfake, undisclosed synthetic, fabricated, and false claim.",02,high-risk,52
CPB-045,truth-before-mythology,The proposal explicitly includes cite source and public source.,02,no-explicit-conflict,100
CPB-046,truth-before-mythology,"The proposal includes cite source, but also deepfake.",02,guarded,92
CPB-047,truth-before-mythology,"The proposal includes cite source, but also deepfake and undisclosed synthetic.",02,needs-safeguards,80
CPB-048,truth-before-mythology,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-049,consent-and-privacy,The proposed rule explicitly includes personal data.,03,needs-safeguards,88
CPB-050,consent-and-privacy,The proposed rule explicitly includes personal data and biometric.,03,needs-safeguards,76
CPB-051,consent-and-privacy,"The proposed rule explicitly includes personal data, biometric, and face scan.",03,needs-safeguards,64
CPB-052,consent-and-privacy,"The proposed rule explicitly includes personal data, biometric, face scan, and precise location.",03,high-risk,52
CPB-053,consent-and-privacy,The proposal explicitly includes informed consent and data minimization.,03,no-explicit-conflict,100
CPB-054,consent-and-privacy,"The proposal includes informed consent, but also personal data.",03,guarded,92
CPB-055,consent-and-privacy,"The proposal includes informed consent, but also personal data and biometric.",03,needs-safeguards,80
CPB-056,consent-and-privacy,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-057,no-autonomous-coercion,The proposed rule explicitly includes punish.,04,needs-safeguards,88
CPB-058,no-autonomous-coercion,The proposed rule explicitly includes punish and threaten.,04,needs-safeguards,76
CPB-059,no-autonomous-coercion,"The proposed rule explicitly includes punish, threaten, and blacklist.",04,needs-safeguards,64
CPB-060,no-autonomous-coercion,"The proposed rule explicitly includes punish, threaten, blacklist, and retaliation.",04,high-risk,52
CPB-061,no-autonomous-coercion,The proposal explicitly includes human appeal and human review.,04,no-explicit-conflict,100
CPB-062,no-autonomous-coercion,"The proposal includes human appeal, but also punish.",04,guarded,92
CPB-063,no-autonomous-coercion,"The proposal includes human appeal, but also punish and threaten.",04,needs-safeguards,80
CPB-064,no-autonomous-coercion,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-065,transparent-power,The proposed rule explicitly includes secret rule.,05,needs-safeguards,88
CPB-066,transparent-power,The proposed rule explicitly includes secret rule and hidden moderator.,05,needs-safeguards,76
